"","Fecha","1","3","6","12"
"V139",2003-07-23,NA,NA,NA,NA
"V140",2003-07-24,NA,NA,NA,NA
"V141",2003-07-25,NA,NA,NA,NA
"V142",2003-07-28,NA,NA,NA,NA
"V143",2003-07-29,NA,NA,NA,NA
"V144",2003-07-30,NA,NA,NA,NA
"V145",2003-07-31,NA,NA,NA,NA
"V146",2003-08-01,NA,NA,NA,NA
"V147",2003-08-04,NA,NA,NA,NA
"V148",2003-08-05,NA,NA,NA,NA
"V149",2003-08-06,NA,NA,NA,NA
"V150",2003-08-07,NA,NA,NA,NA
"V151",2003-08-08,NA,NA,NA,NA
"V152",2003-08-11,NA,NA,NA,NA
"V153",2003-08-12,NA,NA,NA,NA
"V154",2003-08-13,NA,NA,NA,NA
"V155",2003-08-14,NA,NA,NA,NA
"V156",2003-08-15,NA,NA,NA,NA
"V157",2003-08-19,NA,NA,NA,NA
"V158",2003-08-20,NA,NA,NA,NA
"V159",2003-08-21,NA,NA,NA,NA
"V160",2003-08-22,NA,NA,NA,NA
"V161",2003-08-25,NA,NA,NA,NA
"V162",2003-08-26,NA,NA,NA,NA
"V163",2003-08-27,NA,NA,NA,NA
"V164",2003-08-28,NA,NA,NA,NA
"V165",2003-08-29,NA,NA,NA,NA
"V166",2003-09-01,NA,NA,NA,NA
"V167",2003-09-02,NA,NA,NA,NA
"V168",2003-09-03,NA,NA,NA,NA
"V169",2003-09-04,NA,NA,NA,NA
"V170",2003-09-05,NA,NA,NA,NA
"V171",2003-09-08,NA,NA,NA,NA
"V172",2003-09-09,NA,NA,NA,NA
"V173",2003-09-10,NA,NA,NA,NA
"V174",2003-09-11,NA,NA,NA,NA
"V175",2003-09-12,NA,NA,NA,NA
"V176",2003-09-15,NA,NA,NA,NA
"V177",2003-09-16,NA,NA,NA,NA
"V178",2003-09-17,NA,NA,NA,NA
"V179",2003-09-18,NA,NA,NA,NA
"V180",2003-09-19,NA,NA,NA,NA
"V181",2003-09-22,NA,NA,NA,NA
"V182",2003-09-23,NA,NA,NA,NA
"V183",2003-09-24,NA,NA,NA,NA
