"","Fecha","1","2","3","4","5","6","7","8","9","10","11","12","18","24"
"V1958",2010-11-10,,,,,,,,,,,,,,
"V1959",2010-11-11,,,,,,,,,,,,,,
"V1960",2010-11-12,,,,,,,,,,,,,,
"V1961",2010-11-15,,,,,,,,,,,,,,
"V1962",2010-11-16,,,10.9999,,11.3799,,,,12.1001,,,,,
"V1963",2010-11-17,,,,,,,,,,,,,,
"V1964",2010-11-18,,,,,,,,,,,,,,
"V1965",2010-11-19,,,,,,,,,,,,,,
"V1966",2010-11-23,,,10.9499,,11.0501,,,,,,,12.7,,
"V1967",2010-11-24,,,,,,,,,,,,,,
"V1968",2010-11-25,,,,,,,,,,,,,,
"V1969",2010-11-26,,,,,,,,,,,,,,
"V1970",2010-11-29,,,,,,,,,,,,,,
"V1971",2010-11-30,10.9009,11.0496,11.1997,,10.2985,,,,12,,12.8,,,
"V1972",2010-12-01,,,,,,,,,,,,,,
"V1973",2010-12-02,,,,,,,,,,,,,,
"V1974",2010-12-03,,,,,,,,,,,,,,
"V1975",2010-12-06,,,,,,,,,,,,,,
"V1976",2010-12-07,10.8499,11.0493,11.1996,11.4,,,,11.89,,,12.6999,,,
"V1977",2010-12-09,,,,,,,,,,,,,,
"V1978",2010-12-10,,,,,,,,,,,,,,
"V1979",2010-12-13,,,,,,,,,,,,,,
"V1980",2010-12-14,10.9002,,11.004,11.3,,,,11.7499,,,12.58,,,
"V1981",2010-12-15,,,,,,,,,,,,,,
"V1982",2010-12-16,,,,,,,,,,,,,,
"V1983",2010-12-17,,,,,,,,,,,,,,
"V1984",2010-12-20,,,,,,,,,,,,,,
"V1985",2010-12-21,10.8491,10.9504,,11.2001,,,,,,,,13.0501,,
"V1986",2010-12-22,,,,,,,,,,,,,,
"V1987",2010-12-23,,,,,,,,,,,,,,
"V1988",2010-12-27,,,,,,,,,,,,,,
"V1989",2010-12-28,10.8402,10.8,,10.9999,,,,,,12.4999,,,,
"V1990",2010-12-29,,,,,,,,,,,,,,
"V1991",2010-12-30,,,,,,,,,,,,,,
"V1992",2011-01-03,,,,,,,,,,,,,,
"V1993",2011-01-04,,11.0003,11,11.0998,,,,11.7501,,12.4,,13,,
"V1994",2011-01-05,,,,,,,,,,,,,,
"V1995",2011-01-06,,,,,,,,,,,,,,
"V1996",2011-01-07,,,,,,,,,,,,,,
"V1997",2011-01-10,,,,,,,,,,,,,,
"V1998",2011-01-11,,10.9998,11.0999,,,,11.75,,,,,12.98,,
"V1999",2011-01-12,,,,,,,,,,,,,,
"V2000",2011-01-13,,,,,,,,,,,,,,
"V2001",2011-01-14,,,,,,,,,,,,,,
"V2002",2011-01-17,,,,,,,,,,,,,,
"V2003",2011-01-18,,11,11.1,11.2,,,11.6,,,11.75,,12.9,,
"V2004",2011-01-19,,,,,,,,,,,,,,
"V2005",2011-01-20,,,,,,,,,,,,,,
"V2006",2011-01-21,,,,,,,,,,,,,,
"V2007",2011-01-24,,,,,,,,,,,,,,
"V2008",2011-01-25,,10.9798,,11.18,11.3,,11.59,,,11.9999,,,,
"V2009",2011-01-26,,,,,,,,,,,,,,
"V2010",2011-01-27,,,,,,,,,,,,,,
"V2011",2011-01-28,,,,,,,,,,,,,,
"V2012",2011-01-31,,,,,,,,,,,,,,
"V2013",2011-02-01,,10.9717,,11.15,11.3,,,,11.799,,,,,
"V2014",2011-02-02,,,,,,,,,,,,,,
"V2015",2011-02-03,,,,,,,,,,,,,,
"V2016",2011-02-04,,,,,,,,,,,,,,
"V2017",2011-02-07,,,,,,,,,,,,,,
"V2018",2011-02-08,,10.9497,,11.15,,,11.61,,,12,12.1999,,,
"V2019",2011-02-09,,,,,,,,,,,,,,
"V2020",2011-02-10,,,,,,,,,,,,,,
"V2021",2011-02-11,,,,,,,,,,,,,,
"V2022",2011-02-14,,,,,,,,,,,,,,
"V2023",2011-02-15,,10.9497,,11.1501,11.2699,,11.6099,,12,,12.2,,,
"V2024",2011-02-16,,,,,,,,,,,,,,
"V2025",2011-02-17,,,,,,,,,,,,,,
"V2026",2011-02-18,,,,,,,,,,,,,,
"V2027",2011-02-21,,,,,,,,,,,,,,
"V2028",2011-02-22,,10.9701,11.1498,,11.2699,11.6099,,,12,,,12.48,,
"V2029",2011-02-23,,,,,,,,,,,,,,
"V2030",2011-02-24,,,,,,,,,,,,,,
"V2031",2011-02-25,,,,,,,,,,,,,,
"V2032",2011-02-28,,,,,,,,,,,,,,
"V2033",2011-03-01,,10.9701,11.1602,,11.3601,11.5999,,,12,,,12.48,,
"V2034",2011-03-02,,,,,,,,,,,,,,
"V2035",2011-03-03,,,,,,,,,,,,,,
"V2036",2011-03-04,,10.9701,11.1298,,11.33,,11.7699,,11.97,,,12.44,,
"V2037",2011-03-09,,,,,,,,,,,,,,
"V2038",2011-03-10,,,,,,,,,,,,,,
"V2039",2011-03-11,,,,,,,,,,,,,,
"V2040",2011-03-14,,,,,,,,,,,,,,
"V2041",2011-03-15,,10.9999,11.0802,,11.3,,,,11.9399,,,,,
"V2042",2011-03-16,,,,,,,,,,,,,,
"V2043",2011-03-17,,,,,,,,,,,,,,
"V2044",2011-03-18,,,,,,,,,,,,,,
"V2045",2011-03-21,,,,,,,,,,,,,,
"V2046",2011-03-22,,,10.9801,,,,11.6556,,11.9045,,12.3494,,,
"V2047",2011-03-23,,,,,,,,,,,,,,
"V2048",2011-03-28,,,,,,,,,,,,,,
"V2049",2011-03-29,,,10.9801,,,,11.69,11.8699,,,12.2999,,,
"V2050",2011-03-30,,,,,,,,,,,,,,
"V2051",2011-03-31,,,,,,,,,,,,,,
"V2052",2011-04-01,,,,,,,,,,,,,,
"V2053",2011-04-04,,,,,,,,,,,,,,
"V2054",2011-04-05,,,10.9801,,,,11.65,11.83,,,12.2601,,,
"V2055",2011-04-06,,,,,,,,,,,,,,
"V2056",2011-04-07,,,,,,,,,,,,,,
"V2057",2011-04-08,,,,,,,,,,,,,,
"V2058",2011-04-11,,,,,,,,,,,,,,
"V2059",2011-04-12,,,10.9801,,,,11.6146,11.7941,,12.2209,,,,
"V2060",2011-04-13,,,,,,,,,,,,,,
"V2061",2011-04-14,,,,,,,,,,,,,,
"V2062",2011-04-15,,,,,,,,,,,,,,
"V2063",2011-04-18,,,,,,,,,,,,,,
"V2064",2011-04-19,,10.9402,,,,,11.5698,11.8,,12.21,,,,
"V2065",2011-04-20,,,,,,,,,,,,,,
"V2066",2011-04-25,,,,,,,,,,,,,,
"V2067",2011-04-26,,10.9052,,,,11.5349,11.754,,,12.1728,,,,
"V2068",2011-04-27,,,,,,,,,,,,,,
"V2069",2011-04-28,,,,,,,,,,,,,,
"V2070",2011-04-29,,,,,,,,,,,,,,
"V2071",2011-05-02,,,,,,,,,,,,,,
"V2072",2011-05-03,,10.8702,,,,11.465,,,,,,,,
"V2073",2011-05-04,,,,,,,,,,,,,,
"V2074",2011-05-05,,,,,,,,,,,,,,
"V2075",2011-05-06,,,,,,,,,,,,,,
"V2076",2011-05-09,,,,,,,,,,,,,,
"V2077",2011-05-10,,,10.9751,,,11.43,,,,,,,,
"V2078",2011-05-11,,,,,,,,,,,,,,
"V2079",2011-05-12,,,,,,,,,,,,,,
"V2080",2011-05-13,,,,,,,,,,,,,,
"V2081",2011-05-16,,,,,,,,,,,,,,
"V2082",2011-05-17,,,10.9796,,11.3906,,11.623,,,,,,,
"V2083",2011-05-18,,,,,,,,,,,,,,
"V2084",2011-05-19,,,,,,,,,,,,,,
"V2085",2011-05-20,,,,,,,,,,,,,,
"V2086",2011-05-23,,,,,,,,,,,,,,
"V2087",2011-05-24,,,11.0775,,11.3998,,,,,,,,,
"V2088",2011-05-26,,,,,,,,,,,,,,
"V2089",2011-05-27,,,,,,,,,,,,,,
"V2090",2011-05-30,,,,,,,,,,,,,,
"V2091",2011-05-31,,,11.0833,,11.3653,,,,12,,,,,14.4605
"V2092",2011-06-01,,,,,,,,,,,,,,
"V2093",2011-06-02,,,,,,,,,,,,,,
"V2094",2011-06-03,,,,,,,,,,,,,,
"V2095",2011-06-06,,,,,,,,,,,,,,
"V2096",2011-06-07,,,11.0833,,11.3301,,,,11.9627,,,,,14.4223
"V2097",2011-06-08,,,,,,,,,,,,,,
"V2098",2011-06-09,,,,,,,,,,,,,,
"V2099",2011-06-10,,,,,,,,,,,,,,
"V2100",2011-06-13,,,,,,,,,,,,,,
"V2101",2011-06-14,,,11.0421,11.289,,,,11.9256,,,,,,14.3841
"V2102",2011-06-15,,,,,,,,,,,,,,
"V2103",2011-06-16,,,,,,,,,,,,,,
"V2104",2011-06-17,,,,,,,,,,,,,,
"V2105",2011-06-21,,,11.0421,,,11.4763,,11.8899,,,,12.5936,,14.3459
"V2106",2011-06-22,,,,,,,,,,,,,,
"V2107",2011-06-23,,,,,,,,,,,,,,
"V2108",2011-06-24,,,,,,,,,,,,,,
"V2109",2011-06-27,,,,,,,,,,,,,,
"V2110",2011-06-28,,,11.1209,,11.4369,,,11.8523,,,,,,
"V2111",2011-06-29,,,,,,,,,,,,,,
"V2112",2011-06-30,,,,,,,,,,,,,,
"V2113",2011-07-01,,,,,,,,,,,,,,
"V2114",2011-07-04,,,,,,,,,,,,,,
"V2115",2011-07-05,,,,,11.3601,11.4399,,,,,,,,
"V2116",2011-07-06,,,,,,,,,,,,,,
"V2117",2011-07-07,,,,,,,,,,,,,,
"V2118",2011-07-08,,,,,,,,,,,,,,
"V2119",2011-07-11,,,,,,,,,,,,,,
"V2120",2011-07-12,,,,,11.3602,11.3999,,11.7217,,,,12.5359,,14.2862
"V2121",2011-07-13,,,,,,,,,,,,,,
"V2122",2011-07-14,,,,,,,,,,,,,,
"V2123",2011-07-15,,,,,,,,,,,,,,
"V2124",2011-07-18,,,,,,,,,,,,,,
"V2125",2011-07-19,,,,,11.3602,11.3933,,11.6815,,,,12.4952,,14.2455
"V2126",2011-07-20,,,,,,,,,,,,,,
"V2127",2011-07-21,,,,,,,,,,,,,,
"V2128",2011-07-22,,,,,,,,,,,,,,
"V2129",2011-07-25,,,,,,,,,,,,,,
"V2130",2011-07-26,,,,11.3601,,11.3867,11.6455,,,,,12.4546,,14.5711
"V2131",2011-07-27,,,,,,,,,,,,,,
"V2132",2011-07-28,,,,,,,,,,,,,,
"V2133",2011-07-29,,,,,,,,,,,,,,
"V2134",2011-08-01,,,,,,,,,,,,,,
"V2135",2011-08-02,,,,11.3548,11.3814,,11.6132,,,,,12.4142,,14.5304
"V2136",2011-08-03,,,,,,,,,,,,,,
"V2137",2011-08-04,,,,,,,,,,,,,,
"V2138",2011-08-05,,,,,,,,,,,,,,
"V2139",2011-08-08,,,,,,,,,,,,,,
"V2140",2011-08-09,,,,,11.3707,,11.6,,,,,12.3742,,14.4897
"V2141",2011-08-10,,,,,,,,,,,,,,
"V2142",2011-08-11,,,,,,,,,,,,,,
"V2143",2011-08-12,,,,,,,,,,,,,,
"V2144",2011-08-15,,,,,,,,,,,,,,
"V2145",2011-08-16,,,,,11.3452,11.4727,11.58,,,,12.3355,,,14.449
"V2146",2011-08-17,,,,,,,,,,,,,,
"V2147",2011-08-18,,,,,,,,,,,,,,
"V2148",2011-08-19,,,,,,,,,,,,,,
"V2149",2011-08-23,,,,11.3196,,11.4471,11.5532,,,,12.2977,,,14.4083
"V2150",2011-08-24,,,,,,,,,,,,,,
"V2151",2011-08-25,,,,,,,,,,,,,,
"V2152",2011-08-26,,,,,,,,,,,,,,
"V2153",2011-08-29,,,,,,,,,,,,,,
"V2154",2011-08-30,,,,11.8399,11.9199,11.98,,,,,12.42,,,14.37
"V2155",2011-08-31,,,,,,,,,,,,,,
"V2156",2011-09-01,,,,,,,,,,,,,,
"V2157",2011-09-02,,,,,,,,,,,,,,
"V2158",2011-09-05,,,,,,,,,,,,,,
"V2159",2011-09-06,,,,12.3699,12.42,12.4799,,,,,12.6199,,,14.53
"V2160",2011-09-07,,,,,,,,,,,,,,
"V2161",2011-09-08,,,,,,,,,,,,,,
"V2162",2011-09-09,,,,,,,,,,,,,,
"V2163",2011-09-12,,,,,,,,,,,,,,
"V2164",2011-09-13,,,,12.87,12.9199,12.94,,,,13.08,,,,14.49
"V2165",2011-09-14,,,,,,,,,,,,,,
"V2166",2011-09-15,,,,,,,,,,,,,,
"V2167",2011-09-16,,,,,,,,,,,,,,
"V2168",2011-09-19,,,,,,,,,,,,,,
"V2169",2011-09-20,,,,13.1099,,13.1701,13.1899,,,13.29,,,,14.46
"V2170",2011-09-21,,,,,,,,,,,,,,
"V2171",2011-09-22,,,,,,,,,,,,,,
"V2172",2011-09-23,,,,,,,,,,,,,,
"V2173",2011-09-26,,,,,,,,,,,,,,
"V2174",2011-09-27,,,,13.3701,13.39,13.4101,,,,13.5,,,,14.43
"V2175",2011-09-28,,,,,,,,,,,,,,
"V2176",2011-09-29,,,,,,,,,,,,,,
"V2177",2011-09-30,,,,,,,,,,,,,,
"V2178",2011-10-03,,,,,,,,,,,,,,
"V2179",2011-10-04,,,,13.62,13.6401,13.66,,,,13.74,,,,14.76
"V2180",2011-10-05,,,,,,,,,,,,,,
"V2181",2011-10-06,,,,,,,,,,,,,,
"V2182",2011-10-07,,,,,,,,,,,,,,
"V2183",2011-10-11,,,,13.8701,13.89,13.9,,,,13.98,,,,14.99
"V2184",2011-10-12,,,,,,,,,,,,,,
"V2185",2011-10-13,,,,,,,,,,,,,,
"V2186",2011-10-14,,,,,,,,,,,,,,
"V2187",2011-10-17,,,,,,,,,,,,,,
"V2188",2011-10-18,,,,13.97,13.9899,14,,,14.1,,,,,15.05
"V2189",2011-10-19,,,,,,,,,,,,,,
"V2190",2011-10-20,,,,,,,,,,,,,,
"V2191",2011-10-21,,,,,,,,,,,,,,
"V2192",2011-10-24,,,,,,,,,,,,,,
"V2193",2011-10-25,,,13.9698,,13.9872,13.9967,,,14.0932,,,,,15.0315
"V2194",2011-10-26,,,,,,,,,,,,,,
"V2195",2011-10-27,,,,,,,,,,,,,,
"V2196",2011-10-28,,,,,,,,,,,,,,
"V2197",2011-10-31,,,,,,,,,,,,,,
"V2198",2011-11-01,,,13.9674,,13.9846,,,,14.0868,,,,,15.0863
"V2199",2011-11-02,,,,,,,,,,,,,,
"V2200",2011-11-03,,,,,,,,,,,,,,
"V2201",2011-11-04,,,,,,,,,,,,,,
"V2202",2011-11-07,,,,,,,,,,,,,,
"V2203",2011-11-08,,,13.97,13.9822,13.9904,,,,14.0805,,,,,15.0682
"V2204",2011-11-09,,,,,,,,,,,,,,
"V2205",2011-11-10,,,,,,,,,,,,,,
"V2206",2011-11-11,,,,,,,,,,,,,,
"V2207",2011-11-14,,,,,,,,,,,,,,
"V2208",2011-11-15,,,,13.9761,13.9878,,,14.0787,,,,14.2664,,15.0501
"V2209",2011-11-16,,,,,,,,,,,,,,
"V2210",2011-11-17,,,,,,,,,,,,,,
"V2211",2011-11-18,,,,,,,,,,,,,,
"V2212",2011-11-21,,,,,,,,,,,,,,
"V2213",2011-11-22,,,,13.9741,13.9855,,,14.0725,,,,14.2539,,15.0322
"V2214",2011-11-23,,,,,,,,,,,,,,
"V2215",2011-11-24,,,,,,,,,,,,,,
"V2216",2011-11-25,,,,,,,,,,,,,,
"V2217",2011-11-29,,,,13.9764,,,,14.0666,,,,14.2798,,
"V2218",2011-11-30,,,,,,,,,,,,,,
"V2219",2011-12-01,,,,,,,,,,,,,,
"V2220",2011-12-02,,,,,,,,,,,,,,
"V2221",2011-12-05,,,,,,,,,,,,,,
"V2222",2011-12-06,,,,13.9741,,,,14.061,,,,14.268,,
"V2223",2011-12-07,,,,,,,,,,,,,,
"V2224",2011-12-12,,,,,,,,,,,,,,
"V2225",2011-12-13,,,,13.9764,,14.0202,14.0554,,,,,14.2565,,
"V2226",2011-12-14,,,,,,,,,,,,,,
"V2227",2011-12-15,,,,,,,,,,,,,,
"V2228",2011-12-16,,,,,,,,,,,,,,
"V2229",2011-12-19,,,,,,,,,,,,,,
"V2230",2011-12-20,,,,13.9701,,14.0129,14.0554,,,,14.2453,,,
"V2231",2011-12-21,,,,,,,,,,,,,,
"V2232",2011-12-22,,,,,,,,,,,,,,
"V2233",2011-12-23,,,,,,,,,,,,,,
"V2234",2011-12-27,,,,13.9701,14.0075,,14.0501,,,,14.234,,,
"V2235",2011-12-28,,,,,,,,,,,,,,
"V2236",2011-12-29,,,,,,,,,,,,,,
"V2237",2011-12-30,,,,,,,,,,,,,,
"V2238",2012-01-03,,,,13.97,14.0021,,14.0447,,,,14.2232,,,
"V2239",2012-01-04,,,,,,,,,,,,,,
"V2240",2012-01-05,,,,,,,,,,,,,,
"V2241",2012-01-06,,,,,,,,,,,,,,
"V2242",2012-01-09,,,,,,,,,,,,,,
"V2243",2012-01-10,,,,13.8001,13.9,,14.0394,,,,14.2127,,,
"V2244",2012-01-11,,,,,,,,,,,,,,
"V2245",2012-01-12,,,,,,,,,,,,,,
"V2246",2012-01-13,,,,,,,,,,,,,,
"V2247",2012-01-16,,,,,,,,,,,,,,
"V2248",2012-01-17,,,,13.6858,13.8001,,13.95,,,,14.2026,,,
"V2249",2012-01-18,,,,,,,,,,,,,,
"V2250",2012-01-19,,,,,,,,,,,,,,
"V2251",2012-01-20,,,,,,,,,,,,,,
"V2252",2012-01-23,,,,,,,,,,,,,,
"V2253",2012-01-24,,,,,13.6501,13.82,,,,14.1877,,,,
"V2254",2012-01-25,,,,,,,,,,,,,,
"V2255",2012-01-26,,,,,,,,,,,,,,
"V2256",2012-01-27,,,,,,,,,,,,,,
"V2257",2012-01-30,,,,,,,,,,,,,,
"V2258",2012-01-31,,,,,13.2501,13.6,,13.8,,13.9999,,,,
"V2259",2012-02-01,,,,,,,,,,,,,,
"V2260",2012-02-02,,,,,,,,,,,,,,
"V2261",2012-02-03,,,,,,,,,,,,,,
"V2262",2012-02-06,,,,,,,,,,,,,,
"V2263",2012-02-07,,,,,12.9501,,13.2999,13.6,,13.7999,,,,
"V2264",2012-02-08,,,,,,,,,,,,,,
"V2265",2012-02-09,,,,,,,,,,,,,,
"V2266",2012-02-10,,,,,,,,,,,,,,
"V2267",2012-02-13,,,,,,,,,,,,,,
"V2268",2012-02-14,,,,,12.4998,,13,13.1999,,,,13.8499,,
"V2269",2012-02-15,,,,,,,,,,,,,,
"V2270",2012-02-16,,,,,,,,,,,,,,
"V2271",2012-02-17,,,,,12.0999,12.4901,12.7301,,,,,13.5,,
"V2272",2012-02-22,,,,,,,,,,,,,,
"V2273",2012-02-23,,,,,,,,,,,,,,
"V2274",2012-02-24,,,,,,,,,,,,,,
"V2275",2012-02-28,,,,,12.0999,,12.2024,,,,,13.2,,
"V2276",2012-02-29,,,,,,,,,,,,,,
"V2277",2012-03-01,,,,,,,,,,,,,,
"V2278",2012-03-02,,,,,,,,,,,,,,
"V2279",2012-03-05,,,,,,,,,,,,,,
"V2280",2012-03-06,,,,,12.0999,,,12.1999,,,,13,,14.2671
"V2281",2012-03-07,,,,,,,,,,,,,,
"V2282",2012-03-08,,,,,,,,,,,,,,
"V2283",2012-03-09,,,,,,,,,,,,,,
"V2284",2012-03-12,,,,,,,,,,,,,,
"V2285",2012-03-13,,,,,12.1,12.12,12.1908,,,,,12.85,,14.251
"V2286",2012-03-14,,,,,,,,,,,,,,
"V2287",2012-03-15,,,,,,,,,,,,,,
"V2288",2012-03-16,,,,,,,,,,,,,,
"V2289",2012-03-19,,,,,,,,,,,,,,
"V2290",2012-03-20,,,,,12.0999,12.1198,12.175,,,,,12.81,,14.23
"V2291",2012-03-21,,,,,,,,,,,,,,
"V2292",2012-03-22,,,,,,,,,,,,,,
"V2293",2012-03-23,,,,,,,,,,,,,,
"V2294",2012-03-26,,,,,,,,,,,,,,
"V2295",2012-03-27,,,,,12.0999,,12.1,12.3087,,,12.7766,,,
"V2296",2012-03-28,,,,,,,,,,,,,,
"V2297",2012-03-29,,,,,,,,,,,,,,
"V2298",2012-03-30,,,,,,,,,,,,,,
"V2299",2012-04-03,,,,,12.0999,12.065,,12.2499,,,,12.9144,,
"V2300",2012-04-04,,,,,,,,,,,,,,
"V2301",2012-04-09,,,,,,,,,,,,,,
"V2302",2012-04-10,,,,,,,12.14,12.2364,,12.5996,,12.83,,
"V2303",2012-04-11,,,,,,,,,,,,,,
"V2304",2012-04-12,,,,,,,,,,,,,,
"V2305",2012-04-13,,,,,,,,,,,,,,
"V2306",2012-04-16,,,,,,,,,,,,,,
"V2307",2012-04-17,,,,,,,12.1399,,,12.5665,,12.8012,,
"V2308",2012-04-18,,,,,,,,,,,,,,
"V2309",2012-04-19,,,,,,,,,,,,,,
"V2310",2012-04-20,,,,,,,,,,,,,,
"V2311",2012-04-23,,,,,,,,,,,,,,
"V2312",2012-04-24,,,,,,,12.14,,12.383,12.5358,,12.7719,,
"V2313",2012-04-25,,,,,,,,,,,,,,
"V2314",2012-04-26,,,,,,,,,,,,,,
"V2315",2012-04-27,,,,,,,12.1399,,12.4001,,12.65,,,
"V2316",2012-05-02,,,,,,,,,,,,,,
"V2317",2012-05-03,,,,,,,,,,,,,,
"V2318",2012-05-04,,,,,,,,,,,,,,
"V2319",2012-05-07,,,,,,,,,,,,,,
"V2320",2012-05-08,,,,,,,12.1401,,12.4835,,,,,14.2631
"V2321",2012-05-09,,,,,,,,,,,,,,
"V2322",2012-05-10,,,,,,,,,,,,,,
"V2323",2012-05-11,,,,,,,,,,,,,,
"V2324",2012-05-14,,,,,,,,,,,,,,
"V2325",2012-05-15,,,,,,,12.14,,12.4454,12.6092,12.7349,,,14.2409
"V2326",2012-05-16,,,,,,,,,,,,,,
"V2327",2012-05-17,,,,,,,,,,,,,,
"V2328",2012-05-18,,,,,,,,,,,,,,
"V2329",2012-05-21,,,,,,,,,,,,,,
"V2330",2012-05-22,,,11.7999,,,,12.14,,12.4115,12.5763,12.7034,,,14.2184
"V2331",2012-05-23,,,,,,,,,,,,,,
"V2332",2012-05-24,,,,,,,,,,,,,,
"V2333",2012-05-28,,,,,,,,,,,,,,
"V2334",2012-05-29,,11.1,,11.8001,,,12.1505,12.3775,,12.5433,12.6715,,,
"V2335",2012-05-30,,,,,,,,,,,,,,
"V2336",2012-05-31,,,,,,,,,,,,,,
"V2337",2012-06-01,,,,,,,,,,,,,,
"V2338",2012-06-04,,,,,,,,,,,,,,
"V2339",2012-06-05,,11.1,,11.80001,,12.1234,,12.3491,12.5102,12.6395,,,,
"V2340",2012-06-06,,,,,,,,,,,,,,
"V2341",2012-06-07,,,,,,,,,,,,,,
"V2342",2012-06-08,,,,,,,,,,,,,,
"V2343",2012-06-11,,,,,,,,,,,,,,
"V2344",2012-06-12,,11.1,,11.8001,,12.1734,,12.3709,12.578,12.7072,,,,
"V2345",2012-06-13,,,,,,,,,,,,,,
"V2346",2012-06-14,,,,,,,,,,,,,,
"V2347",2012-06-15,,,,,,,,,,,,,,
"V2348",2012-06-18,,,,,,,,,,,,,,
"V2349",2012-06-19,,,11.0999,11.8001,,12.2378,,12.4387,12.6306,12.8203,,,,
"V2350",2012-06-21,,,,,,,,,,,,,,
"V2351",2012-06-22,,,,,,,,,,,,,,
"V2352",2012-06-25,,,,,,,,,,,,,,
"V2353",2012-06-26,,,11.54,,12.0301,12.3001,12.51,,12.7,12.93,,,,
"V2354",2012-06-27,,,,,,,,,,,,,,
"V2355",2012-06-28,,,,,,,,,,,,,,
"V2356",2012-06-29,,,,,,,,,,,,,,
"V2357",2012-07-02,,,,,,,,,,,,,,
"V2358",2012-07-03,,,,11.5401,12.0299,12.33,12.66,12.8099,13.0199,,,,,
"V2359",2012-07-04,,,,,,,,,,,,,,
"V2360",2012-07-05,,,,,,,,,,,,,,
"V2361",2012-07-06,,,,,,,,,,,,,,
"V2362",2012-07-10,,,11.54,12.0299,12.355,,12.81,,13.1174,,,13.6337,,
"V2363",2012-07-11,,,,,,,,,,,,,,
"V2364",2012-07-12,,,,,,,,,,,,,,
"V2365",2012-07-13,,,,,,,,,,,,,,
"V2366",2012-07-16,,,,,,,,,,,,,,
"V2367",2012-07-17,,,11.5399,12.0299,12.3738,,12.9093,,13.2235,,,13.7493,,
"V2368",2012-07-18,,,,,,,,,,,,,,
"V2369",2012-07-19,,,,,,,,,,,,,,
"V2370",2012-07-20,,,,,,,,,,,,,,
"V2371",2012-07-23,,,,,,,,,,,,,,
"V2372",2012-07-24,,,11.5401,12.0299,12.3591,,12.9999,,13.3286,,,13.8642,,15.7331
"V2373",2012-07-25,,,,,,,,,,,,,,
"V2374",2012-07-26,,,,,,,,,,,,,,
"V2375",2012-07-27,,,,,,,,,,,,,,
"V2376",2012-07-30,,,,,,,,,,,,,,
"V2377",2012-07-31,,,11.5401,12.03,12.549,,13.0787,13.4317,,,,14.0142,,15.9331
"V2378",2012-08-01,,,,,,,,,,,,,,
"V2379",2012-08-02,,,,,,,,,,,,,,
"V2380",2012-08-03,,,,,,,,,,,,,,
"V2381",2012-08-06,,,,,,,,,,,,,,
"V2382",2012-08-07,,,11.5401,12.03,12.6499,,13.1512,13.5313,,,,14.1279,,16.0945
"V2383",2012-08-08,,,,,,,,,,,,,,
"V2384",2012-08-09,,,,,,,,,,,,,,
"V2385",2012-08-10,,,,,,,,,,,,,,
"V2386",2012-08-13,,,,,,,,,,,,,,
"V2387",2012-08-14,,,12.0398,12.53,,13.2386,,13.7481,,,,14.25,,16.2545
"V2388",2012-08-15,,,,,,,,,,,,,,
"V2389",2012-08-16,,,,,,,,,,,,,,
"V2390",2012-08-17,,,,,,,,,,,,,,
"V2391",2012-08-21,,12,,12.87,,13.4339,,13.8753,,14.1678,14.4186,,,16.4956
"V2392",2012-08-22,,,,,,,,,,,,,,
"V2393",2012-08-23,,,,,,,,,,,,,,
"V2394",2012-08-24,,,,,,,,,,,,,,
"V2395",2012-08-27,,,,,,,,,,,,,,
"V2396",2012-08-28,,,12.2198,12.7601,,13.3634,13.8123,,,14.1992,,14.5178,,16.4992
"V2397",2012-08-29,,,,,,,,,,,,,,
"V2398",2012-08-30,,,,,,,,,,,,,,
"V2399",2012-08-31,,,,,,,,,,,,,,
"V2400",2012-09-03,,,,,,,,,,,,,,
"V2401",2012-09-04,,,12.2202,12.7601,,13.288,13.7482,,,14.1937,,14.5178,,16.5411
"V2402",2012-09-05,,,,,,,,,,,,,,
"V2403",2012-09-06,,,,,,,,,,,,,,
"V2404",2012-09-07,,,,,,,,,,,,,,
"V2405",2012-09-10,,,,,,,,,,,,,,
"V2406",2012-09-11,,,12.3601,12.6299,13.25,,,13.8819,14.1492,,,14.5191,,16.5
"V2407",2012-09-12,,,,,,,,,,,,,,
"V2408",2012-09-13,,,,,,,,,,,,,,
"V2409",2012-09-14,,,,,,,,,,,,,,
"V2410",2012-09-17,,,,,,,,,,,,,,
"V2411",2012-09-18,,,12.3601,12.7199,,13.365,,13.8245,14.1047,,,14.5043,,16.5835
"V2412",2012-09-19,,,,,,,,,,,,,,
"V2413",2012-09-20,,,,,,,,,,,,,,
"V2414",2012-09-21,,,,,,,,,,,,,,
"V2415",2012-09-25,,,12.3601,12.7998,,13.39,13.767,,14.0579,,14.468,,,16.542
"V2416",2012-09-26,,,,,,,,,,,,,,
"V2417",2012-09-27,,,,,,,,,,,,,,
"V2418",2012-09-28,,,,,,,,,,,,,,
"V2419",2012-10-01,,,,,,,,,,,,,,
"V2420",2012-10-02,,,12.25,12.6899,13.4417,,13.9198,,14.2094,,14.6307,,,16.7835
"V2421",2012-10-03,,,,,,,,,,,,,,
"V2422",2012-10-04,,,,,,,,,,,,,,
"V2423",2012-10-05,,,,,,,,,,,,,,
"V2424",2012-10-09,,,12.25,12.58,13.4898,,14.06,,,,14.7924,,,16.9422
"V2425",2012-10-10,,,,,,,,,,,,,,
"V2426",2012-10-11,,,,,,,,,,,,,,
"V2427",2012-10-12,,,,,,,,,,,,,,
