"","Fecha","1","2","3","4","5","6","7","8","9","10","11","12","18","24"
"V1",2003-01-02,NA,NA,NA,NA,NA,44.9999,NA,NA,52.0002,NA,NA,NA,NA,NA
"V2",2003-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V3",2003-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V4",2003-01-07,NA,NA,NA,NA,NA,40,NA,NA,45.99,NA,NA,NA,NA,NA
"V5",2003-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V6",2003-01-09,NA,NA,NA,NA,NA,37,NA,NA,41.9999,NA,NA,NA,NA,NA
"V7",2003-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V8",2003-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V9",2003-01-14,NA,NA,NA,NA,NA,35,NA,NA,40.0001,NA,NA,46.0001,NA,NA
"V10",2003-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V11",2003-01-16,NA,NA,NA,NA,NA,34.99,NA,NA,39,NA,NA,44,NA,NA
"V12",2003-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V13",2003-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V14",2003-01-21,NA,NA,NA,NA,NA,35,NA,NA,39,NA,NA,40.9799,NA,NA
"V15",2003-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V16",2003-01-23,NA,NA,NA,NA,NA,33.5,NA,NA,30,NA,NA,NA,NA,NA
"V17",2003-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V18",2003-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V19",2003-01-28,NA,NA,NA,NA,NA,32.4999,NA,NA,NA,NA,NA,NA,NA,NA
"V20",2003-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V21",2003-01-30,NA,NA,NA,NA,NA,36.5967,NA,NA,NA,NA,NA,NA,NA,NA
"V22",2003-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V23",2003-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V24",2003-02-04,NA,NA,NA,NA,NA,31.0001,NA,NA,NA,NA,NA,NA,NA,NA
"V25",2003-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V26",2003-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V27",2003-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V28",2003-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V29",2003-02-11,NA,NA,NA,NA,NA,29.9937,NA,NA,NA,NA,NA,NA,NA,NA
"V30",2003-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V31",2003-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V32",2003-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V33",2003-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V34",2003-02-18,NA,NA,NA,NA,NA,29.9899,NA,NA,NA,NA,NA,NA,NA,NA
"V35",2003-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V36",2003-02-20,NA,NA,NA,NA,NA,29.5,NA,NA,NA,NA,NA,NA,NA,NA
"V37",2003-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V38",2003-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V39",2003-02-25,NA,NA,NA,NA,NA,28.49999,NA,NA,NA,NA,NA,NA,NA,NA
"V40",2003-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V41",2003-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V42",2003-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V43",2003-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V44",2003-03-04,NA,NA,NA,NA,NA,32.0499,NA,NA,NA,NA,NA,37.0001,NA,NA
"V45",2003-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V46",2003-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V47",2003-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V48",2003-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V49",2003-03-11,NA,NA,NA,NA,NA,31.9999,NA,NA,NA,NA,NA,NA,NA,NA
"V50",2003-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V51",2003-03-13,NA,NA,NA,NA,NA,31.4901,NA,NA,NA,NA,NA,36.95,NA,NA
"V52",2003-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V53",2003-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V54",2003-03-18,NA,NA,NA,NA,NA,27.8417,NA,NA,NA,NA,NA,36.5,NA,NA
"V55",2003-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V56",2003-03-20,NA,NA,NA,NA,NA,29.7959,NA,NA,NA,NA,NA,36.0001,NA,NA
"V57",2003-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V58",2003-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V59",2003-03-25,NA,NA,NA,NA,NA,29.9899,NA,NA,NA,NA,NA,35.4,NA,NA
"V60",2003-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V61",2003-03-27,NA,NA,NA,NA,NA,28.4999,NA,NA,NA,NA,NA,35.3899,NA,NA
"V62",2003-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V63",2003-04-01,NA,NA,NA,NA,NA,26.5,NA,NA,29.9499,NA,NA,34.994,NA,NA
"V64",2003-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V65",2003-04-03,NA,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA,34.35,NA,NA
"V66",2003-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V67",2003-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V68",2003-04-08,NA,NA,NA,NA,NA,24.001,NA,NA,NA,NA,NA,33,34.9999,NA
"V69",2003-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V70",2003-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4723,31.95,NA
"V71",2003-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V72",2003-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V73",2003-04-15,NA,NA,NA,NA,NA,21.49,NA,NA,24.99,NA,NA,28.5001,28.95,NA
"V74",2003-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V75",2003-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V76",2003-04-22,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,24,NA,NA
"V77",2003-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V78",2003-04-24,NA,NA,NA,NA,NA,16.4896,NA,NA,NA,NA,NA,21.0242,24.9628,NA
"V79",2003-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V80",2003-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V81",2003-04-29,NA,NA,NA,NA,NA,16.1905,NA,NA,NA,NA,NA,NA,NA,NA
"V82",2003-04-30,6.9984,8.6491,12.6839,NA,NA,16.75,NA,NA,NA,NA,NA,NA,NA,NA
"V83",2003-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V84",2003-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V85",2003-05-06,6.9994,NA,12.6995,NA,NA,16.4949,NA,NA,NA,NA,NA,20,NA,NA
"V86",2003-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V87",2003-05-08,NA,NA,12.5689,NA,NA,NA,NA,NA,NA,NA,NA,19.48,23.98,NA
"V88",2003-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V89",2003-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V90",2003-05-13,6.9899,9.0002,11.4949,NA,NA,14.9989,NA,NA,NA,NA,NA,19.48,23.98,NA
"V91",2003-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V92",2003-05-15,6.9496,8.9399,NA,NA,NA,15.0001,NA,NA,NA,NA,NA,NA,23.4931,NA
"V93",2003-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V94",2003-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V95",2003-05-20,6.9497,8.7829,11.5,NA,NA,NA,NA,NA,NA,NA,NA,18.9999,NA,NA
"V96",2003-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V97",2003-05-22,6.8992,8.5996,10.9999,NA,NA,14.4501,NA,NA,NA,NA,NA,18.69,NA,NA
"V98",2003-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V99",2003-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V100",2003-05-27,6.4541,8.2263,8.3491,NA,NA,13.4899,NA,NA,NA,NA,NA,18.55,22.9801,NA
"V101",2003-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V102",2003-05-29,6.43,8.1952,8.3499,NA,NA,13.25,NA,NA,NA,NA,NA,18.5401,22.25,NA
"V103",2003-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V104",2003-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V105",2003-06-03,5.9996,NA,6.9999,NA,NA,13.2201,NA,NA,NA,NA,NA,18.4498,22,NA
"V106",2003-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V107",2003-06-05,5.9499,6.6003,7.4998,NA,NA,12.9996,NA,NA,NA,NA,NA,18.2499,22,NA
"V108",2003-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V109",2003-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V110",2003-06-10,4.9004,NA,NA,NA,NA,12.9901,NA,NA,NA,NA,NA,19.9001,22,NA
"V111",2003-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V112",2003-06-12,NA,NA,5.9998,NA,NA,12.75,NA,NA,NA,NA,NA,19.8,22,NA
"V113",2003-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V114",2003-06-17,NA,5.4918,NA,NA,NA,12.65,NA,NA,NA,NA,NA,19.5,21.98,NA
"V115",2003-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V116",2003-06-19,5.0299,NA,NA,NA,NA,12.3001,NA,NA,NA,NA,NA,19,21.5501,NA
"V117",2003-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V118",2003-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V119",2003-06-24,4.9898,5.4918,NA,NA,NA,11.4998,NA,NA,NA,NA,NA,18,19.9,NA
"V120",2003-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V121",2003-06-26,4.9004,NA,NA,NA,NA,10.9999,NA,NA,NA,NA,NA,17.5,19.5,NA
"V122",2003-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V123",2003-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V124",2003-07-01,4.6494,5.2497,5.75,NA,NA,10.2501,NA,NA,NA,NA,NA,16.9999,19,NA
"V125",2003-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V126",2003-07-03,3.9803,4.8502,NA,NA,NA,9.7501,NA,NA,NA,NA,NA,16.5,18.49,NA
"V127",2003-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V128",2003-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V129",2003-07-08,3.2497,3.9903,4.7999,NA,NA,8.75,NA,NA,NA,NA,NA,15.5,17.249,NA
"V130",2003-07-10,2.8999,3.8698,4.4,NA,NA,8.0001,NA,NA,NA,NA,NA,14.4938,16.75,NA
"V131",2003-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V132",2003-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V133",2003-07-15,2.1705,3.5197,4.3201,NA,NA,7.5002,NA,NA,NA,NA,NA,13.7386,15.0003,NA
"V134",2003-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V135",2003-07-17,2.1,3.4901,4.3099,NA,NA,7.4749,NA,NA,NA,NA,NA,13.7291,NA,NA
"V136",2003-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V137",2003-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V138",2003-07-22,1.9999,2.9998,4.28,NA,NA,7.2499,NA,NA,NA,NA,NA,13.7,16.2,NA
"V139",2003-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V140",2003-07-24,1.9701,2.97,4.27,NA,NA,5,NA,NA,NA,NA,NA,13.6499,NA,NA
"V141",2003-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V142",2003-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V143",2003-07-29,1.8482,2.9699,4.2702,NA,NA,7.2501,NA,NA,NA,NA,NA,13.9802,15.99,NA
"V144",2003-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V145",2003-07-31,1.6995,2.93,4.2501,NA,NA,7.2262,NA,NA,NA,NA,NA,13.9918,NA,NA
"V146",2003-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V147",2003-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V148",2003-08-05,1.3791,3.0402,4.2899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V149",2003-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V150",2003-08-07,1.3198,2.8999,4.2898,NA,NA,7.1,NA,NA,NA,NA,NA,NA,15.8,NA
"V151",2003-08-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V152",2003-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V153",2003-08-12,1.2299,3.1402,4.4398,NA,NA,6.9998,NA,NA,NA,NA,NA,13.8999,NA,NA
"V154",2003-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V155",2003-08-14,1.2291,3.0999,NA,NA,NA,6.4999,NA,NA,NA,NA,NA,14,NA,NA
"V156",2003-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V157",2003-08-19,1.1996,3.0003,4.2501,NA,NA,6.9998,NA,NA,NA,NA,NA,14.2,NA,NA
"V158",2003-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V159",2003-08-21,1.2003,2.9897,4.2698,NA,NA,NA,NA,NA,NA,NA,NA,14.2,NA,NA
"V160",2003-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V161",2003-08-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V162",2003-08-26,1.0021,2.8499,4.2501,NA,NA,7.1501,NA,NA,NA,NA,NA,14.1999,NA,NA
"V163",2003-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V164",2003-08-28,NA,2.7899,4.23,NA,NA,7.3,NA,NA,NA,NA,NA,14.1,NA,NA
"V165",2003-08-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V166",2003-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V167",2003-09-02,NA,2.7898,4.1498,NA,NA,7.2501,NA,NA,NA,NA,NA,13.9801,16,NA
"V168",2003-09-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V169",2003-09-04,0.7493,2.7499,4.12,NA,NA,7.2499,NA,NA,NA,NA,NA,13.9,16,NA
"V170",2003-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V171",2003-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V172",2003-09-09,0.7404,2.7002,4.0998,NA,NA,7.23,NA,NA,NA,NA,NA,13.9,15.988,NA
"V173",2003-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V174",2003-09-11,0.6992,2.4495,3.9999,NA,NA,7.09999,NA,NA,NA,NA,NA,13.7,15.73,NA
"V175",2003-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V176",2003-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V177",2003-09-16,NA,2.2999,3.9001,NA,NA,7.01,NA,NA,NA,NA,NA,13.45,15.39,NA
"V178",2003-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V179",2003-09-18,NA,2.28,3.75,NA,NA,6.7801,NA,NA,NA,NA,NA,13.1523,15.0659,NA
"V180",2003-09-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V181",2003-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V182",2003-09-23,0.6104,2.2303,3.73,NA,NA,6.73,NA,NA,NA,NA,NA,13.14,15.05,NA
"V183",2003-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V184",2003-09-25,0.6098,2.1598,3.6001,NA,NA,6.6301,NA,NA,NA,NA,NA,12.75,14.84,NA
"V185",2003-09-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V186",2003-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V187",2003-09-30,0.6091,2.1001,3.49,NA,NA,6.29,NA,NA,NA,NA,NA,12.7001,15.73,NA
"V188",2003-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V189",2003-10-02,NA,2.0399,3.3901,NA,NA,6.19,NA,NA,NA,NA,NA,12.5001,15.43,NA
"V190",2003-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V191",2003-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V192",2003-10-07,0.6,2.0402,3.1899,NA,NA,6.0599,NA,NA,NA,NA,NA,12.2998,15.15,NA
"V193",2003-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V194",2003-10-09,NA,1.9498,3.1899,NA,NA,6.0299,NA,NA,NA,NA,NA,12.21,14.7,NA
"V195",2003-10-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V196",2003-10-14,NA,NA,3,NA,NA,6.0301,NA,NA,NA,NA,NA,12.16,14.3,NA
"V197",2003-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V198",2003-10-16,NA,NA,3,NA,NA,6.0001,NA,NA,NA,NA,NA,12.0437,13.98,NA
"V199",2003-10-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V200",2003-10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V201",2003-10-21,NA,NA,2.99,NA,NA,5.97,NA,NA,NA,NA,NA,11.8435,13.57,NA
"V202",2003-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V203",2003-10-23,NA,NA,2.6999,NA,NA,5.7499,NA,NA,NA,NA,NA,11.35,12.97,NA
"V204",2003-10-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V205",2003-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V206",2003-10-28,NA,NA,2.6799,NA,NA,5.71,NA,NA,NA,NA,NA,11.09,12.49,NA
"V207",2003-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V208",2003-10-30,NA,NA,2.6798,NA,NA,5.69,NA,NA,NA,NA,NA,10.9,12.45,NA
"V209",2003-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V210",2003-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V211",2003-11-04,NA,NA,2.6799,NA,NA,5.6501,NA,NA,NA,NA,NA,10.7501,12.3,NA
"V212",2003-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V213",2003-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V214",2003-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V215",2003-11-11,NA,NA,2.6799,NA,NA,5.6501,NA,NA,NA,NA,NA,10.72,11.99,NA
"V216",2003-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V217",2003-11-13,NA,NA,NA,NA,NA,5.44,NA,NA,NA,NA,NA,10.6001,11.99,NA
"V218",2003-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V219",2003-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V220",2003-11-18,NA,NA,2.66,NA,NA,5.3799,NA,NA,NA,NA,NA,10.4,11.9,NA
"V221",2003-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V222",2003-11-20,NA,NA,2.64,NA,NA,5,NA,NA,NA,NA,NA,9.95,11.7941,NA
"V223",2003-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V224",2003-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V225",2003-11-25,NA,NA,2.6201,NA,NA,4.95,NA,NA,NA,NA,NA,9.85,NA,NA
"V226",2003-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V227",2003-11-27,NA,NA,2.6101,NA,NA,4.9301,NA,NA,NA,NA,NA,9.85,NA,NA
"V228",2003-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V229",2003-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V230",2003-12-02,NA,NA,2.5002,NA,NA,4.8901,NA,NA,NA,NA,NA,9.7,NA,NA
"V231",2003-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V232",2003-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V233",2003-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V234",2003-12-09,NA,NA,2.45,NA,NA,4.8,NA,NA,NA,NA,NA,9.2488,11.5825,NA
"V235",2003-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V236",2003-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V237",2003-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V238",2003-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V239",2003-12-16,NA,NA,2.3002,NA,NA,4.4801,NA,NA,NA,NA,NA,9,10.995,NA
"V240",2003-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V241",2003-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V242",2003-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V243",2003-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V244",2003-12-23,NA,NA,NA,NA,NA,4.05,NA,NA,NA,NA,NA,8.5,10.49,NA
"V245",2003-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V246",2003-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V247",2003-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V248",2003-12-30,NA,NA,1.95,NA,NA,3.7,NA,NA,NA,NA,NA,8.4994,10.14,NA
"V249",2003-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V250",2004-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V251",2004-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V252",2004-01-06,NA,NA,1.8599,NA,NA,3.5501,NA,NA,NA,NA,NA,8.3462,9.99,NA
"V253",2004-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
